p_0,alpha,d2,q_pereg,pist_omega,Cq,V_max,p_max,shtraf,fit
55000000.0,16.5,12.5,25.5,85.0,14.0,130.7470380756521,159355760.73729503,0,130.7470380756521
55000000.0,16.5,12.5,25.5,85.0,14.0,130.7470380756521,159355760.73729503,0,130.7470380756521
55000001.34110451,16.5,12.5,25.5,85.0,14.0,130.74704120298645,159358412.60662434,0,130.74704120298645
55000000.0,16.500000402331352,12.5,25.5,85.0,14.0,130.74703817897446,159355776.35800713,0,130.74703817897446
55000000.0,16.5,12.500000223517418,25.5,85.0,14.0,130.74703806303663,159355768.9737654,0,130.74703806303663
55000000.0,16.5,12.5,25.5000007301569,85.0,14.0,130.74703815678095,159355764.51537532,0,130.74703815678095
55000000.0,16.5,12.5,25.5,85.00000193715096,14.0,130.7470330008638,159354613.7759975,0,130.7470330008638
99999999.3974356,29.999999994432997,5.000000000166362,49.99999999223385,20.000001416092346,14.0,693.3209619908644,5352251533.139663,18409.00613255865,-17715.685170567787
59499999.93974356,17.8499999994433,11.750000000016636,27.949999999223387,78.50000014160923,14.0,159.98330575548883,226433204.38634256,0,159.98330575548883
59499999.93974356,17.8499999994433,11.750000000016636,27.949999999223387,78.50000014160923,14.0,159.98330575548883,226433204.38634256,0,159.98330575548883
59500001.28084807,17.8499999994433,11.750000000016636,27.949999999223387,78.50000014160923,14.0,159.98330839581726,226433315.9858326,0,159.98330839581726
59499999.93974356,17.85000040177465,11.750000000016636,27.949999999223387,78.50000014160923,14.0,159.98330577975568,226433210.59390724,0,159.98330577975568
59499999.93974356,17.8499999994433,11.750000223534053,27.949999999223387,78.50000014160923,14.0,159.98330584711235,226433204.3950317,0,159.98330584711235
59499999.93974356,17.8499999994433,11.750000000016636,27.950000729380285,78.50000014160923,14.0,159.98330588123974,226433205.15783814,0,159.98330588123974
59499999.93974356,17.8499999994433,11.750000000016636,27.949999999223387,78.50000207876019,14.0,159.98329963100485,226433155.17011222,0,159.98329963100485
100000000.0,30.0,19.98313614293382,50.0,20.0,14.0,730.5068428704624,976438796.0052661,905.755184021064,-175.24834115060162
68581594.01736586,20.574478218801307,13.59617284753592,32.89442343430218,65.38214201725106,14.0,255.16722322869194,399331103.1237381,0,255.16722322869194
68581594.01736586,20.574478218801307,13.59617284753592,32.89442343430218,65.38214201725106,14.0,255.16722322869194,399331103.1237381,0,255.16722322869194
68581595.35847037,20.574478218801307,13.59617284753592,32.89442343430218,65.38214201725106,14.0,255.16722933696516,399333107.4781094,0,255.16722933696516
