p_0,alpha,d2,q_pereg,pist_omega,Cq,V_max,p_max,shtraf,fit
55000000.0,16.5,12.5,25.5,85.0,12.0,141.3741431805327,166154736.72017267,0,141.3741431805327
55000000.0,16.5,12.5,25.5,85.0,12.0,141.3741431805327,166154736.72017267,0,141.3741431805327
55000001.34110451,16.5,12.5,25.5,85.0,12.0,141.37414610664842,166157937.02869278,0,141.37414610664842
55000000.0,16.500000402331352,12.5,25.5,85.0,12.0,141.3741432882274,166154752.74575445,0,141.3741432882274
55000000.0,16.5,12.500000223517418,25.5,85.0,12.0,141.37414316494906,166154745.13483298,0,141.37414316494906
55000000.0,16.5,12.5,25.5000007301569,85.0,12.0,141.37414327728752,166154736.48963204,0,141.37414327728752
55000000.0,16.5,12.5,25.5,85.00000193715096,12.0,141.37413775321542,166153239.28181294,0,141.37413775321542
99999999.83843963,29.99999999833518,5.000000000073326,49.999999997316465,20.000000431998615,12.0,732.8267860593901,5951873483.735908,20807.493934943628,-20074.667148884237
59499999.98384397,17.849999999833518,11.750000000007333,27.94999999973165,78.50000004319986,12.0,174.15143090274583,247983000.6497536,0,174.15143090274583
59499999.98384397,17.849999999833518,11.750000000007333,27.94999999973165,78.50000004319986,12.0,174.15143090274583,247983000.6497536,0,174.15143090274583
59500001.324948475,17.849999999833518,11.750000000007333,27.94999999973165,78.50000004319986,12.0,174.15143392247018,247982988.4893298,0,174.15143392247018
59499999.98384397,17.85000040216487,11.750000000007333,27.94999999973165,78.50000004319986,12.0,174.15143092841805,247983011.88422373,0,174.15143092841805
59499999.98384397,17.849999999833518,11.75000022352475,27.94999999973165,78.50000004319986,12.0,174.15143103056846,247983004.00251606,0,174.15143103056846
59499999.98384397,17.849999999833518,11.750000000007333,27.950000729888547,78.50000004319986,12.0,174.15143105551536,247983002.08699253,0,174.15143105551536
59499999.98384397,17.849999999833518,11.750000000007333,27.94999999973165,78.50000198035082,12.0,174.1514240150822,247982997.5404814,0,174.1514240150822
99997887.02183565,29.999395047507836,20.0,49.998875303418195,20.00380173467666,12.0,774.5594969162381,1008653609.5877899,1034.6144383511596,-260.0549414349215
67923298.65032503,20.376995618336327,13.465946659970488,32.536023506803,66.33316899978874,12.0,273.0945227930927,416972454.7461254,0,273.0945227930927
67923298.65032503,20.376995618336327,13.465946659970488,32.536023506803,66.33316899978874,12.0,273.0945227930927,416972454.7461254,0,273.0945227930927
67923299.99142954,20.376995618336327,13.465946659970488,32.536023506803,66.33316899978874,12.0,273.0945297324071,416974190.82423455,0,273.0945297324071
67923298.65032503,20.37699602066768,13.465946659970488,32.536023506803,66.33316899978874,12.0,273.09452276986667,416972468.07530284,0,273.09452276986667
67923298.65032503,20.376995618336327,13.465946883487906,32.536023506803,66.33316899978874,12.0,273.09452302607787,416972459.2565063,0,273.09452302607787
67923298.65032503,20.376995618336327,13.465946659970488,32.536024236959896,66.33316899978874,12.0,273.0945230426652,416972456.2252983,0,273.0945230426652
67923298.65032503,20.376995618336327,13.465946659970488,32.536023506803,66.3331709369397,12.0,273.0945090778099,416971638.16506314,0,273.0945090778099
89786193.34879325,22.22479503259263,18.589985106712533,44.465742427096416,35.401813367196084,12.0,682.6481650678089,1126251266.5453937,1505.0050661815749,-822.356901113766
70520850.01078817,20.596534428204023,14.07473855244266,33.95340478401888,62.65818515101046,12.0,318.34170296267104,497566355.44270015,0,318.34170296267104
70520850.01078817,20.596534428204023,14.07473855244266,33.95340478401888,62.65818515101046,12.0,318.34170296267104,497566355.44270015,0,318.34170296267104
70520851.35189268,20.596534428204023,14.07473855244266,33.95340478401888,62.65818515101046,12.0,318.3417113345791,497570813.41809404,0,318.3417113345791
70520850.01078817,20.596534830535376,14.07473855244266,33.95340478401888,62.65818515101046,12.0,318.34170293287764,497566368.26377696,0,318.34170293287764
70520850.01078817,20.596534428204023,14.074738775960078,33.95340478401888,62.65818515101046,12.0,318.34170312926636,497566361.37237394,0,318.34170312926636
70520850.01078817,20.596534428204023,14.07473855244266,33.95340551417578,62.65818515101046,12.0,318.34170314816413,497566349.5323924,0,318.34170314816413
70520850.01078817,20.596534428204023,14.07473855244266,33.95340478401888,62.65818708816141,12.0,318.3416866837479,497564429.86036384,0,318.3416866837479
100000000.0,3.0,20.0,50.0,20.0,12.0,773.6956331998011,641452524.3267351,0,773.6956331998011
100000000.0,3.0,20.0,50.0,20.0,12.0,773.6956331998011,641452524.3267351,0,773.6956331998011
100000001.3411045,3.0,20.0,50.0,20.0,12.0,773.6956381220427,641452519.2261395,0,773.6956381220427
100000000.0,3.0000004023313522,20.0,50.0,20.0,12.0,773.6956338304554,641452530.6396917,0,773.6956338304554
100000000.0,3.0,20.000000223517418,50.0,20.0,12.0,773.6956288507597,641452477.8158598,0,773.6956288507597
100000000.0,3.0,20.0,50.0000007301569,20.0,12.0,773.6956325657283,641452523.1937107,0,773.6956325657283
100000000.0,3.0,20.0,50.0,20.000001937150955,12.0,773.6956264517779,641452435.8956398,0,773.6956264517779
99999999.00851268,29.99999953488441,5.000000473047078,45.512755404833136,20.000001702542473,12.0,737.4007941783385,5790378773.38258,20161.515093530317,-19424.11429935198
99999999.90085126,5.699999953488441,18.50000004730471,49.55127554048331,20.000000170254246,12.0,800.9458597238929,1016400897.8621533,1065.6035914486129,-264.65773172471995
99999999.99008512,3.269999995348844,19.85000000473047,49.95512755404833,20.000000017025425,12.0,777.0052206418321,677168573.9327514,0,777.0052206418321
99999999.99008512,3.269999995348844,19.85000000473047,49.95512755404833,20.000000017025425,12.0,777.0052206418321,677168573.9327514,0,777.0052206418321
100000001.33118963,3.269999995348844,19.85000000473047,49.95512755404833,20.000000017025425,12.0,777.0052255735685,677168569.1328824,0,777.0052255735685
99999999.99008512,3.2700003976801963,19.85000000473047,49.95512755404833,20.000000017025425,12.0,777.0052211244861,677168579.6147553,0,777.0052211244861
99999999.99008512,3.269999995348844,19.85000022824789,49.95512755404833,20.000000017025425,12.0,777.0052163481697,677168526.4770901,0,777.0052163481697
99999999.99008512,3.269999995348844,19.85000000473047,49.95512828420523,20.000000017025425,12.0,777.0052200448932,677168572.8094376,0,777.0052200448932
99999999.99008512,3.269999995348844,19.85000000473047,49.95512755404833,20.00000195417638,12.0,777.0052136057079,677168485.1996557,0,777.0052136057079
100000000.0,3.0000003872663443,5.0,49.99999955684816,20.0,12.0,844.9190058790972,1895479354.6020644,4581.917418408257,-3736.9984125291594
99999999.99107662,3.2430000345405943,18.365000004257425,49.959614754328314,20.000000015322883,12.0,800.4594742187384,984879804.3506758,939.5192174027029,-139.05974318396454
99999999.99018428,3.267299999268019,19.70150000468317,49.95557627407633,20.00000001685517,12.0,779.8053094232816,708287754.928869,0,779.8053094232816
99999999.99018428,3.267299999268019,19.70150000468317,49.95557627407633,20.00000001685517,12.0,779.8053094232816,708287754.928869,0,779.8053094232816
100000001.3312888,3.267299999268019,19.70150000468317,49.95557627407633,20.00000001685517,12.0,779.8053144606041,708287760.8523724,0,779.8053144606041
99999999.99018428,3.267300401599371,19.70150000468317,49.95557627407633,20.00000001685517,12.0,779.8053100009616,708287762.2535337,0,779.8053100009616
99999999.99018428,3.267299999268019,19.701500228200587,49.95557627407633,20.00000001685517,12.0,779.8053052807063,708287708.2963191,0,779.8053052807063
99999999.99018428,3.267299999268019,19.70150000468317,49.95557700423323,20.00000001685517,12.0,779.8053088351236,708287751.9373438,0,779.8053088351236
99999999.99018428,3.267299999268019,19.70150000468317,49.95557627407633,20.000001954006127,12.0,779.8053034032146,708287776.6012045,0,779.8053034032146
100000000.0,29.999996410239824,5.0,1.0000025664377625,26.861580300228837,12.0,767.0845271906729,3425558973.725651,10702.235894902602,-9935.15136771193
99999999.99116586,5.9405696403652,18.23135000421485,45.060018903312475,20.68615804519254,12.0,802.7196726594163,1040975900.7003185,1163.9036028012733,-361.183930141857
99999999.99028245,3.534626963377737,19.554485004636334,49.46602053699995,20.068615819688908,12.0,782.9161418811998,742088058.9792198,0,782.9161418811998
99999999.99028245,3.534626963377737,19.554485004636334,49.46602053699995,20.068615819688908,12.0,782.9161418811998,742088058.9792198,0,782.9161418811998
100000001.33138695,3.534626963377737,19.554485004636334,49.46602053699995,20.068615819688908,12.0,782.9161467125178,742088044.5117736,0,782.9161467125178
99999999.99028245,3.534627365709089,19.554485004636334,49.46602053699995,20.068615819688908,12.0,782.9161422775587,742088065.6022183,0,782.9161422775587
99999999.99028245,3.534626963377737,19.55448522815375,49.46602053699995,20.068615819688908,12.0,782.9161378107647,742088011.4353551,0,782.9161378107647
99999999.99028245,3.534626963377737,19.554485004636334,49.46602126715685,20.068615819688908,12.0,782.9161413606479,742088059.6992768,0,782.9161413606479
99999999.99028245,3.534626963377737,19.554485004636334,49.46602053699995,20.068617756839863,12.0,782.9161332231049,742087865.4165449,0,782.9161332231049
99999999.7576741,8.765030560014917,13.425174800806314,50.0,20.000000982244174,12.0,829.8326862559434,2260290849.737125,6041.1633989485,-5211.3307126925565
99999999.96702161,4.057667323041455,18.941553984253332,49.51941848329995,20.061754335944435,12.0,793.9002340024397,882755945.5045296,531.0237820181183,262.8764519843214
99999999.98795636,3.586930999344109,19.493191902598035,49.471360331629946,20.06792967131446,12.0,784.0760639436927,755991684.6270207,23.966738508082926,760.1093254356098
99999999.99004984,3.5398573669743745,19.548355694432505,49.46655451646295,20.068547204851463,12.0,783.0327295262668,743478589.6601455,0,783.0327295262668
99999999.99004984,3.5398573669743745,19.548355694432505,49.46655451646295,20.068547204851463,12.0,783.0327295262668,743478589.6601455,0,783.0327295262668
100000001.33115435,3.5398573669743745,19.548355694432505,49.46655451646295,20.068547204851463,12.0,783.0327345040421,743478597.3645722,0,783.0327345040421
99999999.99004984,3.5398577693057267,19.548355694432505,49.46655451646295,20.068547204851463,12.0,783.0327299240286,743478597.7816721,0,783.0327299240286
99999999.99004984,3.5398573669743745,19.548355917949923,49.46655451646295,20.068547204851463,12.0,783.0327254624493,743478543.0461947,0,783.0327254624493
99999999.99004984,3.5398573669743745,19.548355694432505,49.46655524661985,20.068547204851463,12.0,783.0327289780344,743478586.0578173,0,783.0327289780344
99999999.99004984,3.5398573669743745,19.548355694432505,49.46655451646295,20.068549142002418,12.0,783.0327224388795,743478630.1253824,0,783.0327224388795
99996807.72899605,15.26711142468848,5.053006931384888,37.595670352731936,20.0,12.0,764.4889648546628,3320923395.674572,10283.693582698288,-9519.204617843625
99999680.76394446,4.712582772745785,18.09882081812774,48.27946610008984,20.061692484366315,12.0,807.0195485699612,1078013277.3999214,1312.0531095996857,-505.0335610297245
99999968.0674393,3.6571299075515156,19.403402206802028,49.34784567482564,20.067861732802946,12.0,785.8315367001667,776491731.0549774,105.96692421990974,679.8646124802569
99999996.79778878,3.5515846210320885,19.533860345669456,49.454683632299215,20.06847865764661,12.0,783.3164167175423,746772657.8311876,0,783.3164167175423
99999996.79778878,3.5515846210320885,19.533860345669456,49.454683632299215,20.06847865764661,12.0,783.3164167175423,746772657.8311876,0,783.3164167175423
99999998.13889329,3.5515846210320885,19.533860345669456,49.454683632299215,20.06847865764661,12.0,783.3164216428623,746772659.7833736,0,783.3164216428623
99999996.79778878,3.5515850233634407,19.533860345669456,49.454683632299215,20.06847865764661,12.0,783.3164171137345,746772666.0432401,0,783.3164171137345
99999996.79778878,3.5515846210320885,19.533860569186874,49.454683632299215,20.06847865764661,12.0,783.3164126650937,746772611.1961218,0,783.3164126650937
99999996.79778878,3.5515846210320885,19.533860345669456,49.45468436245611,20.06847865764661,12.0,783.3164161830714,746772655.329054,0,783.3164161830714
99999996.79778878,3.5515846210320885,19.533860345669456,49.454683632299215,20.068480594797567,12.0,783.3164089158686,746772638.0811045,0,783.3164089158686
100000000.0,3.3414922290321605,14.804188960771643,45.83672735300544,20.0,12.0,824.1801477999581,1286916075.3977687,2147.664301591075,-1323.4841537911168
99999997.11800991,3.5305753818320955,19.060893207179674,49.09288800436984,20.06163079188195,12.0,791.6322782520449,847892583.7393142,391.5703349572568,400.0619432947881
99999996.8298109,3.5494836971120893,19.486563631820477,49.418504069506284,20.067793871070144,12.0,784.1961037613719,756773824.6580586,27.095298632234517,757.1008051291374
99999996.800991,3.5513745286400886,19.52913067428456,49.45106567601992,20.068410178988966,12.0,783.4048489805455,747770256.3612993,0,783.4048489805455
99999996.800991,3.5513745286400886,19.52913067428456,49.45106567601992,20.068410178988966,12.0,783.4048489805455,747770256.3612993,0,783.4048489805455
