p_0,alpha,d2,q_pereg,pist_omega,Cq,V_max,p_max,shtraf,fit
55000000.0,16.5,12.5,25.5,85.0,9.0,164.9913575129451,189701880.8333529,0,164.9913575129451
55000000.0,16.5,12.5,25.5,85.0,9.0,164.9913575129451,189701880.8333529,0,164.9913575129451
55000001.34110451,16.5,12.5,25.5,85.0,9.0,164.9913600858179,189701889.25607657,0,164.9913600858179
55000000.0,16.500000402331352,12.5,25.5,85.0,9.0,164.9913576185417,189701882.82629335,0,164.9913576185417
55000000.0,16.5,12.500000223517418,25.5,85.0,9.0,164.99135746902152,189701878.8290447,0,164.99135746902152
55000000.0,16.5,12.5,25.5000007301569,85.0,9.0,164.99135766660203,189701881.44526976,0,164.99135766660203
55000000.0,16.5,12.5,25.5,85.00000193715096,9.0,164.99135124577555,189701868.61153215,0,164.99135124577555
99999999.17083414,29.999999990426666,5.000000001974354,49.99999997411038,20.000002938292596,9.0,808.576876625786,7167862175.587193,25671.448702348767,-24862.87182572298
59499999.91708341,17.849999999042666,11.750000000197435,27.94999999741104,78.50000029382926,9.0,206.11923952830477,276085896.2682364,0,206.11923952830477
59499999.91708341,17.849999999042666,11.750000000197435,27.94999999741104,78.50000029382926,9.0,206.11923952830477,276085896.2682364,0,206.11923952830477
59500001.25818792,17.849999999042666,11.750000000197435,27.94999999741104,78.50000029382926,9.0,206.11924348218588,276087174.7797286,0,206.11924348218588
59499999.91708341,17.850000401374018,11.750000000197435,27.94999999741104,78.50000029382926,9.0,206.11923954165903,276085909.8548727,0,206.11923954165903
59499999.91708341,17.849999999042666,11.750000223714853,27.94999999741104,78.50000029382926,9.0,206.1192397304214,276085900.97248864,0,206.1192397304214
59499999.91708341,17.849999999042666,11.750000000197435,27.95000072756794,78.50000029382926,9.0,206.11923975238767,276085894.64257544,0,206.11923975238767
59499999.91708341,17.849999999042666,11.750000000197435,27.94999999741104,78.50000223098021,9.0,206.1192307499627,276085197.82358897,0,206.1192307499627
100000000.0,30.0,19.999982916112163,50.0,20.0,9.0,854.574082711455,1080083128.1252084,1320.3325125008332,-465.75842978937817
67046529.98158385,20.113959013936125,13.287252937953033,32.058666357931926,67.59945683489516,9.0,318.8126420613327,468136898.77602845,0,318.8126420613327
67046529.98158385,20.113959013936125,13.287252937953033,32.058666357931926,67.59945683489516,9.0,318.8126420613327,468136898.77602845,0,318.8126420613327
67046531.322688356,20.113959013936125,13.287252937953033,32.058666357931926,67.59945683489516,9.0,318.81265134689215,468136887.5678836,0,318.81265134689215
67046529.98158385,20.113959416267477,13.287252937953033,32.058666357931926,67.59945683489516,9.0,318.8126420423879,468136901.6288256,0,318.8126420423879
67046529.98158385,20.113959013936125,13.287253161470451,32.058666357931926,67.59945683489516,9.0,318.81264240474786,468136893.2176928,0,318.81264240474786
67046529.98158385,20.113959013936125,13.287252937953033,32.058667088088825,67.59945683489516,9.0,318.81264241350885,468136900.9630946,0,318.81264241350885
67046529.98158385,20.113959013936125,13.287252937953033,32.058666357931926,67.59945877204612,9.0,318.81262481968406,468136880.0749744,0,318.81262481968406
98656997.32024555,23.891380933524516,19.81285351214193,49.29358127421427,21.993797290667498,9.0,847.6519532153902,1098285909.8428485,1393.1436393713939,-545.4916861560037
73788514.53997415,20.919619998936554,14.679054515387955,35.73458576101614,57.8725316006602,9.0,482.5157631954901,884065909.4638929,536.2636378555717,-53.74787466008161
67953472.87445565,20.222337859672415,13.47448038382006,32.553157104465576,66.29097479458758,9.0,337.5611395141995,501627748.8701067,0,337.5611395141995
67953472.87445565,20.222337859672415,13.47448038382006,32.553157104465576,66.29097479458758,9.0,337.5611395141995,501627748.8701067,0,337.5611395141995
67953474.21556015,20.222337859672415,13.47448038382006,32.553157104465576,66.29097479458758,9.0,337.5611493647864,501627770.7258195,0,337.5611493647864
67953472.87445565,20.222338262003767,13.47448038382006,32.553157104465576,66.29097479458758,9.0,337.56113948790926,501627752.18571943,0,337.56113948790926
67953472.87445565,20.222337859672415,13.474480607337478,32.553157104465576,66.29097479458758,9.0,337.56113983472176,501627742.9549923,0,337.56113983472176
67953472.87445565,20.222337859672415,13.47448038382006,32.553157834622475,66.29097479458758,9.0,337.561139854586,501627750.7858317,0,337.561139854586
67953472.87445565,20.222337859672415,13.47448038382006,32.553157104465576,66.29097673173854,9.0,337.561121219359,501627711.73590016,0,337.561121219359
100000000.0,30.0,20.0,50.0,20.0,9.0,854.5736183975503,1080076436.7495987,1320.305746998395,-465.7321286008448
75353923.67834629,22.480276991831317,14.981407692984538,36.582127296018534,55.601077562059665,9.0,523.7867243689476,1019052562.8287352,1076.2102513149407,-552.4235269459931
68693517.95484471,20.448131772888306,13.625173114736508,32.95605412362087,65.22198507133479,9.0,353.84704798626507,533733104.03401834,0,353.84704798626507
68693517.95484471,20.448131772888306,13.625173114736508,32.95605412362087,65.22198507133479,9.0,353.84704798626507,533733104.03401834,0,353.84704798626507
68693519.29594922,20.448131772888306,13.625173114736508,32.95605412362087,65.22198507133479,9.0,353.8470591969272,533733150.4838351,0,353.8470591969272
68693517.95484471,20.44813217521966,13.625173114736508,32.95605412362087,65.22198507133479,9.0,353.84704795002807,533733107.70304257,0,353.84704795002807
68693517.95484471,20.448131772888306,13.625173338253926,32.95605412362087,65.22198507133479,9.0,353.8470482817692,533733097.70804447,0,353.8470482817692
68693517.95484471,20.448131772888306,13.625173114736508,32.95605485377777,65.22198507133479,9.0,353.84704828374413,533733106.9044621,0,353.84704828374413
68693517.95484471,20.448131772888306,13.625173114736508,32.95605412362087,65.22198700848574,9.0,353.8470284858221,533733050.8972839,0,353.8470284858221
100000000.0,3.0,20.0,50.0,20.0,9.0,857.171477102521,685465093.1601768,0,857.171477102521
100000000.0,3.0,20.0,50.0,20.0,9.0,857.171477102521,685465093.1601768,0,857.171477102521
100000001.3411045,3.0,20.0,50.0,20.0,9.0,857.171483403856,685465109.3849038,0,857.171483403856
100000000.0,3.0000004023313522,20.0,50.0,20.0,9.0,857.1714779309483,685465115.5750422,0,857.1714779309483
100000000.0,3.0,20.000000223517418,50.0,20.0,9.0,857.1714711263186,685465052.6770399,0,857.1714711263186
100000000.0,3.0,20.0,50.0000007301569,20.0,9.0,857.1714768368337,685465099.1064907,0,857.1714768368337
100000000.0,3.0,20.0,50.0,20.000001937150955,9.0,857.17147674235,685465111.7072463,0,857.17147674235
99999999.89699624,29.999999986983376,5.00000001967105,50.0,20.000000021622835,9.0,808.5769289022653,7167889528.879284,25671.558115517135,-24862.98118661487
99999999.98969962,5.699999998698337,18.500000001967106,50.0,20.000000002162285,9.0,895.4793778794404,1107232886.2405653,1428.931544962261,-533.4521670828204
99999999.99896996,3.269999999869834,19.85000000019671,50.0,20.00000000021623,9.0,861.6598046624989,727376061.8986123,0,861.6598046624989
99999999.99896996,3.269999999869834,19.85000000019671,50.0,20.00000000021623,9.0,861.6598046624989,727376061.8986123,0,861.6598046624989
100000001.34007446,3.269999999869834,19.85000000019671,50.0,20.00000000021623,9.0,861.659811114088,727376042.0595344,0,861.659811114088
99999999.99896996,3.270000402201186,19.85000000019671,50.0,20.00000000021623,9.0,861.6598053120952,727376087.8765327,0,861.6598053120952
99999999.99896996,3.269999999869834,19.85000022371413,50.0,20.00000000021623,9.0,861.6597987367983,727376022.8158171,0,861.6597987367983
99999999.99896996,3.269999999869834,19.85000000019671,50.0000007301569,20.00000000021623,9.0,861.6598044029125,727376076.3499092,0,861.6598044029125
99999999.99896996,3.269999999869834,19.85000000019671,50.0,20.000001937367184,9.0,861.6598056314666,727375679.9402449,0,861.6598056314666
100000000.0,30.0,5.0,1.0000144585155124,42.959820743444425,9.0,773.9740205065535,3380540631.192177,10522.162524768706,-9748.188504262152
99999999.99907297,5.942999999882851,18.36500000017704,45.100001445851554,22.295982074539047,9.0,890.0715303565073,1093294320.2357187,1373.1772809428749,-483.10575058636755
99999999.99898027,3.537299999871135,19.70150000019474,49.510000144585156,20.22959820764851,9.0,865.8465367842765,769640102.7390306,78.56041095612227,787.2861258281542
99999999.998971,3.2967299998699637,19.835150000196514,49.951000014458515,20.022959820959457,9.0,862.0922320486419,731746423.0609553,0,862.0922320486419
99999999.998971,3.2967299998699637,19.835150000196514,49.951000014458515,20.022959820959457,9.0,862.0922320486419,731746423.0609553,0,862.0922320486419
100000001.3400755,3.2967299998699637,19.835150000196514,49.951000014458515,20.022959820959457,9.0,862.0922383518198,731746381.5510296,0,862.0922383518198
99999999.998971,3.296730402201316,19.835150000196514,49.951000014458515,20.022959820959457,9.0,862.092232668907,731746447.0504816,0,862.092232668907
99999999.998971,3.2967299998699637,19.83515022371393,49.951000014458515,20.022959820959457,9.0,862.0922261254342,731746382.7359773,0,862.0922261254342
99999999.998971,3.2967299998699637,19.835150000196514,49.95100074461541,20.022959820959457,9.0,862.0922318328841,731746442.6744082,0,862.0922318328841
99999999.998971,3.2967299998699637,19.835150000196514,49.951000014458515,20.022961758110412,9.0,862.0922312140336,731745798.2560587,0,862.0922312140336
100000000.0,3.000000755017009,5.0,50.0,20.25763442518865,9.0,958.6891553500512,2322637672.0194435,6290.550688077774,-5331.861532727723
99999999.9990739,3.2670570753846686,18.351635000176863,49.955900013012666,20.046427281382375,9.0,894.9012516929495,1065882523.874818,1263.5300954992717,-368.62884380632227
99999999.99898128,3.2937627074214344,19.68679850019455,49.95149001431393,20.02530656700175,9.0,865.9558885831447,759131604.2374637,36.52641694985459,829.4294716332901
99999999.99897203,3.296433270625111,19.82031485019632,49.95104901444406,20.023194495563686,9.0,862.4842377256881,734377374.9784629,0,862.4842377256881
99999999.99897203,3.296433270625111,19.82031485019632,49.95104901444406,20.023194495563686,9.0,862.4842377256881,734377374.9784629,0,862.4842377256881
100000001.34007654,3.296433270625111,19.82031485019632,49.95104901444406,20.023194495563686,9.0,862.4842440918379,734377424.8735137,0,862.4842440918379
99999999.99897203,3.2964336729564634,19.82031485019632,49.95104901444406,20.023194495563686,9.0,862.4842383586231,734377400.4980605,0,862.4842383586231
99999999.99897203,3.296433270625111,19.820315073713736,49.95104901444406,20.023194495563686,9.0,862.4842318212233,734377336.0937983,0,862.4842318212233
99999999.99897203,3.296433270625111,19.82031485019632,49.95104974460096,20.023194495563686,9.0,862.4842374998973,734377373.7163297,0,862.4842374998973
99999999.99897203,3.296433270625111,19.82031485019632,49.95104901444406,20.02319643271464,9.0,862.4842375860553,734377757.859463,0,862.4842375860553
100000000.0,30.0,5.0,50.0,20.789000942063833,9.0,804.7844880132044,7218863405.11751,25875.453620470038,-25070.669132456835
99999999.99907482,5.9667899435626,18.338283365176686,49.955944112999646,20.0997751402137,9.0,898.5202802140809,1153348054.069187,1613.3922162767476,-714.8719360626667
99999999.99898231,3.5634689379188598,19.672111701694355,49.951538524299615,20.030852560028688,9.0,866.7389416775222,776376462.4678121,105.5058498712483,761.2330918062739
99999999.99897306,3.323136837354486,19.80549453534612,49.95109796542961,20.023960302010185,9.0,862.91641438292,738651702.4967496,0,862.91641438292
99999999.99897306,3.323136837354486,19.80549453534612,49.95109796542961,20.023960302010185,9.0,862.91641438292,738651702.4967496,0,862.91641438292
100000001.34007756,3.323136837354486,19.80549453534612,49.95109796542961,20.023960302010185,9.0,862.9164206128235,738651740.3023202,0,862.9164206128235
99999999.99897306,3.3231372396858383,19.80549453534612,49.95109796542961,20.023960302010185,9.0,862.9164149935575,738651726.3765092,0,862.9164149935575
99999999.99897306,3.323136837354486,19.80549475886354,49.95109796542961,20.023960302010185,9.0,862.9164084798037,738651662.6131127,0,862.9164084798037
99999999.99897306,3.323136837354486,19.80549453534612,49.95109869558651,20.023960302010185,9.0,862.9164141931979,738651703.9998407,0,862.9164141931979
99999999.99897306,3.323136837354486,19.80549453534612,49.95109796542961,20.02396223916114,9.0,862.9164126950778,738651950.1047152,0,862.9164126950778
100000000.0,11.067334134713938,11.730697880920335,50.0,20.0,9.0,929.9234498268257,3144427838.9618883,9577.711355847552,-8647.787906020727
99999999.99907576,4.097556567090431,18.998014869903542,49.95598816888665,20.02156427180917,9.0,884.0419423831653,932627990.5215331,730.5119620861324,153.52998029703292
99999999.99898332,3.4005788103280805,19.724746568801862,49.951586985775315,20.023720698990083,9.0,865.1531624547596,757742219.8896605,30.968879558641675,834.1842828961179
99999999.99897408,3.330881034651845,19.797419738691694,49.95114686746418,20.023936341708175,9.0,863.1412558771754,740548969.9464,0,863.1412558771754
99999999.99897408,3.330881034651845,19.797419738691694,49.95114686746418,20.023936341708175,9.0,863.1412558771754,740548969.9464,0,863.1412558771754
100000001.34007859,3.330881034651845,19.797419738691694,49.95114686746418,20.023936341708175,9.0,863.141262238991,740549013.8505999,0,863.141262238991
99999999.99897408,3.3308814369831974,19.797419738691694,49.95114686746418,20.023936341708175,9.0,863.14125649096,740548994.1010008,0,863.14125649096
99999999.99897408,3.330881034651845,19.797419962209112,49.95114686746418,20.023936341708175,9.0,863.1412499843768,740548930.2239648,0,863.1412499843768
99999999.99897408,3.330881034651845,19.797419738691694,49.95114759762108,20.023936341708175,9.0,863.1412556617223,740548970.0900968,0,863.1412556617223
99999999.99897408,3.330881034651845,19.797419738691694,49.95114686746418,20.02393827885913,9.0,863.1412555816519,740549284.1907371,0,863.1412555816519
99999927.01505443,3.483640569377023,5.0000317645168355,30.64499081395463,20.000002591905364,9.0,950.3531228356791,2225913281.299653,5903.6531251986125,-4953.300002362934
99999992.70058212,3.3461569881243634,18.31768094127421,48.020531262113224,20.021542966727896,9.0,896.4228290029396,1061742227.615936,1246.9689104637437,-350.5460814608041
99999999.26913488,3.332408629999097,19.649445858949946,49.75808530692908,20.02369700421015,9.0,867.0339419157636,766557495.0428139,66.22998017125565,800.803961744508
99999999.92599016,3.3310337941865704,19.78262235071752,49.93184071141067,20.023912407958374,9.0,863.5362433798067,743020346.1076198,0,863.5362433798067
99999999.92599016,3.3310337941865704,19.78262235071752,49.93184071141067,20.023912407958374,9.0,863.5362433798067,743020346.1076198,0,863.5362433798067
100000001.26709467,3.3310337941865704,19.78262235071752,49.93184071141067,20.023912407958374,9.0,863.5362497261337,743020328.8306469,0,863.5362497261337
99999999.92599016,3.3310341965179227,19.78262235071752,49.93184071141067,20.023912407958374,9.0,863.5362440085843,743020372.2206168,0,863.5362440085843
99999999.92599016,3.3310337941865704,19.78262257423494,49.93184071141067,20.023912407958374,9.0,863.5362375080149,743020306.9949452,0,863.5362375080149
99999999.92599016,3.3310337941865704,19.78262235071752,49.93184144156757,20.023912407958374,9.0,863.5362431613454,743020360.2521155,0,863.5362431613454
99999999.92599016,3.3310337941865704,19.78262235071752,49.93184071141067,20.02391434510933,9.0,863.5362430070448,743019990.7301941,0,863.5362430070448
100000000.0,14.881976688549718,10.703739758013278,43.217520908664966,20.0,9.0,913.0105655076501,3575661104.86755,11302.644419470198,-10389.633853962549
99999999.93339114,4.486128083622885,18.874734091447095,49.2604087311361,20.021521167162536,9.0,887.2197138745387,971159754.8332621,884.639019333048,2.5806945414906295
99999999.92673026,3.446543223130202,19.691833524790482,49.86469751338321,20.02367328387879,9.0,866.0990584444631,765719797.386069,62.87918954427596,803.2198689001872
99999999.92606418,3.3425847370809336,19.773543468124817,49.925126391607925,20.023888495550416,9.0,863.7943662236776,745308148.428513,0,863.7943662236776
99999999.92606418,3.3425847370809336,19.773543468124817,49.925126391607925,20.023888495550416,9.0,863.7943662236776,745308148.428513,0,863.7943662236776
100000001.26716869,3.3425847370809336,19.773543468124817,49.925126391607925,20.023888495550416,9.0,863.794372555869,745308127.1581537,0,863.794372555869
99999999.92606418,3.342585139412286,19.773543468124817,49.925126391607925,20.023888495550416,9.0,863.7943668428912,745308174.2511926,0,863.7943668428912
99999999.92606418,3.3425847370809336,19.773543691642235,49.925126391607925,20.023888495550416,9.0,863.7943603552992,745308109.1171671,0,863.7943603552992
99999999.92606418,3.3425847370809336,19.773543468124817,49.925127121764824,20.023888495550416,9.0,863.7943660121223,745308163.4437667,0,863.7943660121223
99999999.92606418,3.3425847370809336,19.773543468124817,49.925126391607925,20.02389043270137,9.0,863.7943656195416,745307748.9081783,0,863.7943656195416
99999998.99015842,8.372472978722705,12.823079212772026,49.99999820474229,20.322617245044412,9.0,940.1150244372875,2609101599.9417396,7436.406399766958,-6496.291375329671
99999999.83247359,3.8455735612451107,19.07849704258954,49.93261357292136,20.053761370499814,9.0,881.808704924054,904151568.9551569,616.6062758206276,265.2024291034264
99999999.91670512,3.3928836194973515,19.70403882557129,49.925875109739266,20.026875783045355,9.0,865.6847368035237,761005741.093646,44.02296437458426,821.6617724289395
99999999.92512827,3.3476146253225756,19.766593003869467,49.925201263421066,20.024187224299908,9.0,863.9842105182311,746839115.3185896,0,863.9842105182311
99999999.92512827,3.3476146253225756,19.766593003869467,49.925201263421066,20.024187224299908,9.0,863.9842105182311,746839115.3185896,0,863.9842105182311
100000001.26623277,3.3476146253225756,19.766593003869467,49.925201263421066,20.024187224299908,9.0,863.9842165774303,746839172.5403837,0,863.9842165774303
99999999.92512827,3.347615027653928,19.766593003869467,49.925201263421066,20.024187224299908,9.0,863.9842111313881,746839141.3700491,0,863.9842111313881
99999999.92512827,3.3476146253225756,19.766593227386885,49.925201263421066,20.024187224299908,9.0,863.9842046501703,746839076.6562728,0,863.9842046501703
99999999.92512827,3.3476146253225756,19.766593003869467,49.925201993577964,20.024187224299908,9.0,863.9842103754376,746839112.33048,0,863.9842103754376
99999999.92512827,3.3476146253225756,19.766593003869467,49.925201263421066,20.024189161450863,9.0,863.9842069466442,746839578.3123844,0,863.9842069466442
99999992.77933577,12.931168815498317,10.980123598751184,49.99998188629066,20.04986967637956,9.0,919.180253136086,3456912391.742947,10827.649566971788,-9908.469313835702
99999999.21054903,4.30597004434015,18.88794606335764,49.93267932570802,20.026755469507872,9.0,886.7765836972168,964727680.6436515,858.9107225746056,27.865861122611136
99999999.85367034,3.443450167224333,19.678728309818283,49.92594906964976,20.024444048820705,9.0,866.4196114636904,768394653.3315687,73.57861332627454,792.8409981374159
99999999.91798247,3.3571981795127512,19.757806534464347,49.92527604404393,20.024212906751988,9.0,864.2292608300521,748985525.2784773,0,864.2292608300521
99999999.91798247,3.3571981795127512,19.757806534464347,49.92527604404393,20.024212906751988,9.0,864.2292608300521,748985525.2784773,0,864.2292608300521
100000001.259087,3.3571981795127512,19.757806534464347,49.92527604404393,20.024212906751988,9.0,864.2292669364763,748985581.8593158,0,864.2292669364763
99999999.91798247,3.3571985818441035,19.757806534464347,49.92527604404393,20.024212906751988,9.0,864.2292614423604,748985551.1545303,0,864.2292614423604
99999999.91798247,3.3571981795127512,19.757806757981765,49.92527604404393,20.024212906751988,9.0,864.2292549702697,748985486.499443,0,864.2292549702697
