alpha,d2,q_pereg,pist_omega,p_0,Cq,V_max,p_max,shtraf,fit
10.908132529738738,6.850428196995457,4.8045236232720985,23.5387027278662,100000000.0,2.5,1219.318831387445,1000573106.0760733,1.9103535869107873,1217.4084778005342
13.358602249280857,10.894459944792189,4.908932518896667,11.141603696668737,100000000.0,2.5,1294.0303049961435,1004506497.086976,15.021656956586867,1279.0086480395566
5.361946840733953,11.975546077915661,6.19814226368376,9.356467735984404,100000000.0,2.5,1343.5168391361883,1002272497.6311852,7.574992103950535,1335.9418470322378
13.201935119019348,8.783655817614685,18.58488145424623,5.467415107807234,100000000.0,2.5,1231.67464337004,1013851787.883065,46.172626276882966,1185.502017093157
4.7884201174553205,9.019662286854699,4.346585887593827,15.833159144328517,100000000.0,2.5,1351.4300148011562,1004773717.5317206,15.912391772401861,1335.5176230287543
4.2473648364207035,9.530750908851983,19.73925257708002,8.603303599279194,100000000.0,2.5,1445.3004270330512,1005003051.231199,16.67683743733005,1428.6235895957211
14.670931375841636,8.308718717245714,5.266449353285749,16.185702744805422,100000000.0,2.5,1249.5751017709865,1004949248.1986376,16.497493995458626,1233.077607775528
3.0787837783339915,16.537994900363763,17.657227160720115,22.259633271522606,100000000.0,2.5,1255.4807409508367,1000380349.0884778,1.2678302949261706,1254.2129106559105
3.9548557520585472,18.142508002557534,13.220127272070465,36.17277306835631,100000000.0,2.5,1181.8394278760047,1001219734.0529764,4.06578017658785,1177.7736476994169
9.116189296635177,13.157091517416362,15.279832816822026,35.8307479952624,100000000.0,2.5,1084.012792793429,1008000019.673986,26.66673224661963,1057.3460605468094
14.740105603688763,16.35948591516072,11.75310480811925,37.80936285372664,100000000.0,2.5,1047.655494131669,1005036327.3023872,16.787757674624117,1030.8677364570449
9.629215786168087,17.975270090299336,17.630760427159732,14.375810122922548,100000000.0,2.5,1201.4750615112473,1001787398.6645862,5.957995548620602,1195.5170659626267
14.607245821289709,17.67351185113217,10.822337928941934,26.41877389923201,100000000.0,2.5,1131.933607043984,1005254790.9645993,17.515969881997535,1114.4176371619865
5.649021686554251,5.985200555090591,17.99181397542018,26.35920043238904,100000000.0,2.5,1216.1726805939893,1002257186.8039876,7.523956013291809,1208.6487245806975
4.108067304683158,11.488322077013422,2.1673476580622957,18.172670698635244,100000000.0,2.5,1371.4380717825952,1001802742.343848,6.009141146159891,1365.4289306364353
11.204951739740297,11.999342382614353,1.0047743577806099,22.876660814886492,100000000.0,2.5,1234.2589549006339,1000674054.7984248,2.2468493280825896,1232.0121055725513
10.69935389833749,18.79664147673507,7.01021769921318,29.25400805647774,100000000.0,2.5,1213.5465450257,1007534040.0639386,25.113466879795396,1188.4330781459046
14.632441706698225,5.6898406948358815,3.1946607580436823,27.00451474765689,100000000.0,2.5,1184.946135276127,1005739940.8819833,19.133136273277614,1165.8129990028494
8.480215954358306,5.017449974978687,5.822372888230867,31.5003285832811,100000000.0,2.5,1188.0270066577461,1002269622.6454781,7.565408818260494,1180.4615978394856
13.819757699382754,18.33746346586733,16.716860931084362,24.68496708726517,100000000.0,2.5,1123.2641560749266,1000586934.7056186,1.9564490187285628,1121.307707056198
9.306630938866224,13.941529697540785,3.2294469323398087,16.937298018026937,100000000.0,2.5,1275.374829939374,1001068968.5403963,3.5632284679877557,1271.8116014713862
5.9694356341560475,20.634739123971503,8.933567744217132,29.95447714586651,100000000.0,2.5,1225.813008850756,710926011.9783591,0,1225.813008850756
6.3963820792825015,8.161101479651382,1.6898060945255433,5.734767452914177,100000000.0,2.5,1412.0697449493002,1027106775.7914798,90.35591930493274,1321.7138256443675
13.6643949155179,13.133508107013078,16.96780836644985,8.254111240511287,100000000.0,2.5,1232.974429298477,1006277186.6422274,20.923955474091144,1212.0504738243858
9.155787893472652,7.105416659654301,2.712920844072002,25.480263122346933,100000000.0,2.5,1232.0315098716774,1005094738.9338062,16.982463112687128,1215.0490467589902
6.333656813326812,5.6175517927631216,9.251921820260174,12.38889240139903,100000000.0,2.5,1306.4261090868645,1003859258.727299,12.86419575766331,1293.5619133292012
4.700846449847695,12.853832266129084,15.508329322492312,15.041653860265289,100000000.0,2.5,1253.7495750017133,1002386173.6760455,7.953912253484759,1245.7956627482286
14.114167237329905,16.128380914435283,1.9292497860875564,19.533811925728045,100000000.0,2.5,1236.0660521159336,1006216806.5132751,20.722688377583836,1215.3433637383498
3.3675786528714466,15.282446424253513,12.349649394951642,17.592847737634244,100000000.0,2.5,1294.9506111818398,1003462681.1131412,11.542270377136902,1283.408340804703
11.323563824315404,14.417316038857791,8.818052859228093,15.2158504433249,100000000.0,2.5,1239.4269078274285,1005806682.245055,19.35560748351645,1220.071300343912
13.624266366244816,19.060242549126034,8.393062228730923,17.538469697524025,100000000.0,2.5,1219.9180073484952,1001556959.9927015,5.189866642338075,1214.728140706157
4.307373932629696,18.09475710336912,8.543072320798316,23.534752476566936,100000000.0,2.5,1259.0149529523085,1003379839.5637038,11.266131879012391,1247.748821073296
4.748139498083765,10.228419239164174,2.5407352996045898,21.209297619734052,100000000.0,2.5,1331.427013147233,1003851052.549435,12.836841831449874,1318.5901713157832
11.13217014353597,17.762940171306894,14.47603421080524,26.143380650618347,100000000.0,2.5,1132.8128351629753,1002111548.0297711,7.038493432570249,1125.774341730405
13.55957207125172,15.505573668782064,9.713079425797869,8.066365816059708,100000000.0,2.5,1278.396281084147,1005138844.3972815,17.129481324271637,1261.2667997598753
6.148188702892167,19.873838755047935,6.5888017730059785,21.12624519590816,100000000.0,2.5,1321.8952274752605,945677000.827134,0,1321.8952274752605
