p_0,alpha,d2,q_pereg,pist_omega,Cq,V_max,p_max,shtraf,fit
55000000.0,16.5,12.5,25.5,85.0,11.0,147.9964004742953,171295200.95731792,0,147.9964004742953
55000000.0,16.5,12.5,25.5,85.0,11.0,147.9964004742953,171295200.95731792,0,147.9964004742953
55000001.34110451,16.5,12.5,25.5,85.0,11.0,147.9964034256872,171276306.99243537,0,147.9964034256872
55000000.0,16.500000402331352,12.5,25.5,85.0,11.0,147.99640058860484,171295063.2910353,0,147.99640058860484
55000000.0,16.5,12.500000223517418,25.5,85.0,11.0,147.99640045654743,171295084.11358345,0,147.99640045654743
55000000.0,16.5,12.5,25.5000007301569,85.0,11.0,147.9964005870707,171295219.2358682,0,147.9964005870707
55000000.0,16.5,12.5,25.5,85.00000193715096,11.0,147.99639487118395,171304289.13176066,0,147.99639487118395
99999998.71171468,29.999999985922422,5.000000000752686,49.99999997482543,20.00000354631993,11.0,754.8564494936047,6313581752.702751,22254.327010811005,-21499.4705613174
59499999.87117147,17.849999998592246,11.750000000075268,27.949999997482546,78.500000354632,11.0,183.0029158109559,260841218.33412674,0,183.0029158109559
59499999.87117147,17.849999998592246,11.750000000075268,27.949999997482546,78.500000354632,11.0,183.0029158109559,260841218.33412674,0,183.0029158109559
59500001.212275974,17.849999998592246,11.750000000075268,27.949999997482546,78.500000354632,11.0,183.0029196484514,260842294.5200096,0,183.0029196484514
59499999.87117147,17.850000400923598,11.750000000075268,27.949999997482546,78.500000354632,11.0,183.0029158415774,260841230.647331,0,183.0029158415774
59499999.87117147,17.849999998592246,11.750000223592686,27.949999997482546,78.500000354632,11.0,183.00291596560606,260841222.2461065,0,183.00291596560606
59499999.87117147,17.849999998592246,11.750000000075268,27.950000727639445,78.500000354632,11.0,183.0029159831963,260841217.7360495,0,183.0029159831963
59499999.87117147,17.849999998592246,11.750000000075268,27.949999997482546,78.50000229178295,11.0,183.00290811636287,260840693.12505355,0,183.00290811636287
99999777.94173375,29.999944003795452,20.0,49.99989593510456,20.000382374543605,11.0,800.414299042102,1043983560.2514787,1175.9342410059144,-375.51994196381236
67437813.09472914,20.23134604009287,13.366970813585805,32.27170159413765,67.03428218782201,11.0,282.10872330159356,421893540.05578756,0,282.10872330159356
67437813.09472914,20.23134604009287,13.366970813585805,32.27170159413765,67.03428218782201,11.0,282.10872330159356,421893540.05578756,0,282.10872330159356
67437814.43583365,20.23134604009287,13.366970813585805,32.27170159413765,67.03428218782201,11.0,282.1087301147242,421893577.78728336,0,282.1087301147242
67437813.09472914,20.231346442424222,13.366970813585805,32.27170159413765,67.03428218782201,11.0,282.10872327565363,421893542.7110456,0,282.10872327565363
67437813.09472914,20.23134604009287,13.366971037103223,32.27170159413765,67.03428218782201,11.0,282.1087235605122,421893535.2891986,0,282.1087235605122
67437813.09472914,20.23134604009287,13.366970813585805,32.27170232429455,67.03428218782201,11.0,282.1087235156625,421893541.29390687,0,282.1087235156625
67437813.09472914,20.23134604009287,13.366970813585805,32.27170159413765,67.03428412497297,11.0,282.10870923595564,421893517.3187749,0,282.10870923595564
100000000.0,20.514650463603118,20.0,50.0,20.0,11.0,800.9373491857932,1030978191.2322782,1123.912764929113,-322.9754157433199
74961193.55606014,20.296802545537247,14.899509224647781,36.367763514896446,56.167174255114034,11.0,443.6810332828972,831262429.5375601,325.0497181502401,118.63131513265711
69030943.25356168,20.245206927954545,13.691496892624505,33.13907229430983,64.73309358306251,11.0,310.6748803269512,474389539.5695,0,310.6748803269512
69030943.25356168,20.245206927954545,13.691496892624505,33.13907229430983,64.73309358306251,11.0,310.6748803269512,474389539.5695,0,310.6748803269512
