p_0,alpha,d2,q_pereg,pist_omega,Cq,V_max,p_max,shtraf,fit
55000000.0,16.5,12.5,25.5,85.0,3.0,322.20909792615686,312187931.7460498,0,322.20909792615686
55000000.0,16.5,12.5,25.5,85.0,3.0,322.20909792615686,312187931.7460498,0,322.20909792615686
55000001.34110451,16.5,12.5,25.5,85.0,3.0,322.209107440783,312187935.2558059,0,322.209107440783
55000000.0,16.500000402331352,12.5,25.5,85.0,3.0,322.2090980856104,312187934.0187776,0,322.2090980856104
55000000.0,16.5,12.500000223517418,25.5,85.0,3.0,322.2090973205586,312187927.45589906,0,322.2090973205586
55000000.0,16.5,12.5,25.5000007301569,85.0,3.0,322.20909835785454,312187932.6287794,0,322.20909835785454
55000000.0,16.5,12.5,25.5,85.00000193715096,3.0,322.2090796533071,312187916.5014029,0,322.2090796533071
99999976.37321371,29.99999988657126,5.000000248073881,49.999999425329136,20.00006561971759,3.0,1146.3480878485755,12877716889.36243,48510.86755744972,-47364.51946960114
59499997.63732137,17.849999988657125,11.750000024807388,27.949999942532912,78.50000656197176,3.0,441.2474593333539,487681110.17036855,0,441.2474593333539
59499997.63732137,17.849999988657125,11.750000024807388,27.949999942532912,78.50000656197176,3.0,441.2474593333539,487681110.17036855,0,441.2474593333539
59499998.978425875,17.849999988657125,11.750000024807388,27.949999942532912,78.50000656197176,3.0,441.2474700781589,487681133.17209387,0,441.2474700781589
59499997.63732137,17.850000390988477,11.750000024807388,27.949999942532912,78.50000656197176,3.0,441.2474593659485,487681113.37330455,0,441.2474593659485
59499997.63732137,17.849999988657125,11.750000248324806,27.949999942532912,78.50000656197176,3.0,441.2474597111616,487681104.21042264,0,441.2474597111616
59499997.63732137,17.849999988657125,11.750000024807388,27.95000067268981,78.50000656197176,3.0,441.2474602873839,487681111.9869957,0,441.2474602873839
59499997.63732137,17.849999988657125,11.750000024807388,27.949999942532912,78.50000849912271,3.0,441.24743473865925,487681068.9749946,0,441.24743473865925
100000000.0,30.0,19.999732177421606,50.0,20.0,3.0,1182.987811539772,1208817390.5230694,1835.2695620922777,-652.2817505525056
69705041.09808408,20.91151285114232,13.828737561738025,33.50607885041051,63.75938743623152,3.0,831.584589443888,1267689299.4744802,2070.7571978979204,-1239.1726084540323
