p_0,alpha,d2,q_pereg,pist_omega,Cq,V_max,p_max,shtraf,fit
55000000.0,16.5,12.5,25.5,85.0,16.0,122.45790934284864,151416993.52604103,0,122.45790934284864
55000000.0,16.5,12.5,25.5,85.0,16.0,122.45790934284864,151416993.52604103,0,122.45790934284864
55000001.34110451,16.5,12.5,25.5,85.0,16.0,122.45791185647438,151419709.7332935,0,122.45791185647438
55000000.0,16.500000402331352,12.5,25.5,85.0,16.0,122.45790943383015,151417006.3735371,0,122.45790943383015
55000000.0,16.5,12.500000223517418,25.5,85.0,16.0,122.45790932654602,151416999.64245284,0,122.45790932654602
55000000.0,16.5,12.5,25.5000007301569,85.0,16.0,122.45790941038432,151416999.59689364,0,122.45790941038432
55000000.0,16.5,12.5,25.5,85.00000193715096,16.0,122.45790481520403,151415863.82466727,0,122.45790481520403
100000000.0,30.0,5.0,50.0,20.0,16.0,659.721530827624,4838341959.763391,16353.36783905356,-15693.646308225936
59500000.00000001,17.85,11.75,27.950000000000003,78.5,16.0,149.07585455971108,209615934.82877064,0,149.07585455971108
59500000.00000001,17.85,11.75,27.950000000000003,78.5,16.0,149.07585455971108,209615934.82877064,0,149.07585455971108
59500001.341104515,17.85,11.75,27.950000000000003,78.5,16.0,149.07585761296767,209617551.4196911,0,149.07585761296767
59500000.00000001,17.850000402331354,11.75,27.950000000000003,78.5,16.0,149.07585457526736,209615948.20823407,0,149.07585457526736
59500000.00000001,17.85,11.750000223517418,27.950000000000003,78.5,16.0,149.07585462272334,209615941.3544737,0,149.07585462272334
59500000.00000001,17.85,11.75,27.9500007301569,78.5,16.0,149.07585465852497,209615938.43240494,0,149.07585465852497
59500000.00000001,17.85,11.75,27.950000000000003,78.50000193715096,16.0,149.0758488020104,209615272.82806286,0,149.0758488020104
99999366.93080406,29.99984247114891,20.0,49.99970550762821,20.001083090153607,16.0,692.4966574521943,936421825.8893344,745.6873035573376,-53.19064610514329
71110935.9765897,21.333290079550867,14.115227633570893,34.27152397318092,61.72869638677136,16.0,268.99851886997493,446008099.4162492,0,268.99851886997493
71110935.9765897,21.333290079550867,14.115227633570893,34.27152397318092,61.72869638677136,16.0,268.99851886997493,446008099.4162492,0,268.99851886997493
71110937.3176942,21.333290079550867,14.115227633570893,34.27152397318092,61.72869638677136,16.0,268.9985259059972,446012239.1250001,0,268.9985259059972
71110935.9765897,21.33329048188222,14.115227633570893,34.27152397318092,61.72869638677136,16.0,268.99851883944945,446008110.60177284,0,268.99851883944945
71110935.9765897,21.333290079550867,14.11522785708831,34.27152397318092,61.72869638677136,16.0,268.99851900022304,446008104.63743234,0,268.99851900022304
71110935.9765897,21.333290079550867,14.115227633570893,34.27152470333782,61.72869638677136,16.0,268.99851902759,446008087.7660218,0,268.99851902759
71110935.9765897,21.333290079550867,14.115227633570893,34.27152397318092,61.728698323922316,16.0,268.99850554523607,446006720.4126866,0,268.99850554523607
91240617.09906206,15.290719538619662,18.772995862935545,45.36070578314576,33.086717220109136,16.0,614.0504324903084,993109970.0584458,972.4398802337832,-358.3894477434749
74426409.14950365,20.338044282957892,14.882388599318608,36.097975399649826,57.011199225814565,16.0,324.8475651731091,559467165.5848103,0,324.8475651731091
74426409.14950365,20.338044282957892,14.882388599318608,36.097975399649826,57.011199225814565,16.0,324.8475651731091,559467165.5848103,0,324.8475651731091
74426410.49060816,20.338044282957892,14.882388599318608,36.097975399649826,57.011199225814565,16.0,324.84757376302645,559467219.9441758,0,324.84757376302645
74426409.14950365,20.338044685289244,14.882388599318608,36.097975399649826,57.011199225814565,16.0,324.84756514171545,559467172.8148397,0,324.84756514171545
74426409.14950365,20.338044282957892,14.882388822836026,36.097975399649826,57.011199225814565,16.0,324.8475651837208,559467157.5820558,0,324.8475651837208
74426409.14950365,20.338044282957892,14.882388599318608,36.097976129806725,57.011199225814565,16.0,324.84756526055384,559467170.9429728,0,324.84756526055384
74426409.14950365,20.338044282957892,14.882388599318608,36.097975399649826,57.01120116296552,16.0,324.8475491189152,559467100.2701569,0,324.8475491189152
100000000.0,3.0,20.0,50.0,20.0,16.0,692.0397795527931,600554739.5621692,0,692.0397795527931
100000000.0,3.0,20.0,50.0,20.0,16.0,692.0397795527931,600554739.5621692,0,692.0397795527931
100000001.3411045,3.0,20.0,50.0,20.0,16.0,692.0397845312579,600554747.7055522,0,692.0397845312579
100000000.0,3.0000004023313522,20.0,50.0,20.0,16.0,692.0397800003806,600554731.0241512,0,692.0397800003806
100000000.0,3.0,20.000000223517418,50.0,20.0,16.0,692.0397765048994,600554690.0657014,0,692.0397765048994
100000000.0,3.0,20.0,50.0000007301569,20.0,16.0,692.039779190361,600554740.4822088,0,692.039779190361
100000000.0,3.0,20.0,50.0,20.000001937150955,16.0,692.0397743626396,600554748.0420657,0,692.0397743626396
100000000.0,30.0,5.000485699379126,1.0004868984430333,20.0,16.0,707.8682970957987,3076409600.84433,9305.63840337732,-8597.770106281521
100000000.0,5.7,18.50004856993791,45.10004868984431,20.0,16.0,711.2386538342678,912127234.3562951,648.5089374251802,62.72971640908759
100000000.0,3.27,19.85000485699379,49.51000486898443,20.0,16.0,694.5620651608187,630515693.7240753,0,694.5620651608187
100000000.0,3.27,19.85000485699379,49.51000486898443,20.0,16.0,694.5620651608187,630515693.7240753,0,694.5620651608187
100000001.3411045,3.27,19.85000485699379,49.51000486898443,20.0,16.0,694.5620699947685,630515691.3665285,0,694.5620699947685
100000000.0,3.2700004023313523,19.85000485699379,49.51000486898443,20.0,16.0,694.5620654745387,630515699.8606968,0,694.5620654745387
100000000.0,3.27,19.85000508051121,49.51000486898443,20.0,16.0,694.5620621806221,630515651.6720972,0,694.5620621806221
100000000.0,3.27,19.85000485699379,49.51000559914133,20.0,16.0,694.5620647689318,630515694.1482245,0,694.5620647689318
100000000.0,3.27,19.85000485699379,49.51000486898443,20.000001937150955,16.0,694.5620588221394,630515610.8973572,0,694.5620588221394
99927476.70339625,3.0,5.0,1.0,20.078708324348018,16.0,738.9334233624371,1255677241.4909563,2022.708965963825,-1283.7755426013878
99992747.67033963,3.243,18.36500437129441,44.65900438208599,20.0078708324348,16.0,711.6072715027506,838571820.4536538,354.2872818146152,357.31998968813537
99999274.76703396,3.2673,19.701504808423856,49.02490482029459,20.00078708324348,16.0,696.7555794532266,660493601.6041391,0,696.7555794532266
99999274.76703396,3.2673,19.701504808423856,49.02490482029459,20.00078708324348,16.0,696.7555794532266,660493601.6041391,0,696.7555794532266
99999276.10813847,3.2673,19.701504808423856,49.02490482029459,20.00078708324348,16.0,696.7555840806036,660493591.8682675,0,696.7555840806036
99999274.76703396,3.2673004023313523,19.701504808423856,49.02490482029459,20.00078708324348,16.0,696.7555797996406,660493593.6324319,0,696.7555797996406
99999274.76703396,3.2673,19.701505031941274,49.02490482029459,20.00078708324348,16.0,696.755576595117,660493552.2539082,0,696.755576595117
99999274.76703396,3.2673,19.701504808423856,49.024905550451486,20.00078708324348,16.0,696.7555790661726,660493602.4206197,0,696.7555790661726
99999274.76703396,3.2673,19.701504808423856,49.02490482029459,20.000789020394436,16.0,696.7555712546696,660493443.6604587,0,696.7555712546696
