p_0,alpha,d2,q_pereg,pist_omega,Cq,V_max,p_max,shtraf,fit
55000000.0,16.5,12.5,25.5,85.0,18.0,115.83254898850163,146184446.61800557,0,115.83254898850163
55000000.0,16.5,12.5,25.5,85.0,18.0,115.83254898850163,146184446.61800557,0,115.83254898850163
55000001.34110451,16.5,12.5,25.5,85.0,18.0,115.83255070683867,146186253.72677916,0,115.83255070683867
55000000.0,16.500000402331352,12.5,25.5,85.0,18.0,115.83254909133186,146184458.70833814,0,115.83254909133186
55000000.0,16.5,12.500000223517418,25.5,85.0,18.0,115.83254898060623,146184452.3529261,0,115.83254898060623
55000000.0,16.5,12.5,25.5000007301569,85.0,18.0,115.8325490513962,146184453.01964137,0,115.8325490513962
55000000.0,16.5,12.5,25.5,85.00000193715096,18.0,115.83254491111782,146183723.6636558,0,115.83254491111782
99999999.89868328,29.999999998275612,5.000000000004161,49.99999999818129,20.000000353003315,18.0,630.6794550023352,4453393154.419374,14813.572617677499,-14182.893162675164
59499999.98986833,17.84999999982756,11.750000000000416,27.94999999981813,78.50000003530033,18.0,140.36399738920247,202413522.6786222,0,140.36399738920247
59499999.98986833,17.84999999982756,11.750000000000416,27.94999999981813,78.50000003530033,18.0,140.36399738920247,202413522.6786222,0,140.36399738920247
59500001.330972835,17.84999999982756,11.750000000000416,27.94999999981813,78.50000003530033,18.0,140.36400569135196,202204498.88378137,0,140.36400569135196
59499999.98986833,17.850000402158912,11.750000000000416,27.94999999981813,78.50000003530033,18.0,140.36399740798223,202413376.93145436,0,140.36399740798223
59499999.98986833,17.84999999982756,11.750000223517834,27.94999999981813,78.50000003530033,18.0,140.3639974372648,202413396.7079765,0,140.3639974372648
59499999.98986833,17.84999999982756,11.750000000000416,27.950000729975027,78.50000003530033,18.0,140.36399747332996,202413472.06419107,0,140.36399747332996
59499999.98986833,17.84999999982756,11.750000000000416,27.94999999981813,78.50000197245129,18.0,140.36399200020955,202422084.2907245,0,140.36399200020955
99999477.03664526,29.999887592557396,20.0,49.999794838378726,20.000600078075287,18.0,659.9657530962496,905707128.7227532,622.8285148910127,37.13723820523694
75741942.1589452,22.722600488322197,15.058586497058435,36.7928670865775,55.03935460687839,18.0,322.0304524171086,618874040.603935,0,322.0304524171086
75741942.1589452,22.722600488322197,15.058586497058435,36.7928670865775,55.03935460687839,18.0,322.0304524171086,618874040.603935,0,322.0304524171086
75741943.50004971,22.722600488322197,15.058586497058435,36.7928670865775,55.03935460687839,18.0,322.0304611120864,618873956.7415832,0,322.0304611120864
